epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.972,1.30591,2.12607,1.54863,0.82096,0.21628,0.3278,0.14402,1.76579,3.75599,2.2189,0.000552105,0.000552105,0.000552105
2,430.463,1.25432,1.60514,1.49856,0.70609,0.7456,0.72577,0.40943,1.34899,1.79086,1.59361,0.000998102,0.000998102,0.000998102
3,655.053,1.26346,1.37037,1.4895,0.62513,0.72367,0.71002,0.35599,1.55298,2.07754,1.73294,0.00133408,0.00133408,0.00133408
4,863.322,1.23788,1.25498,1.4797,0.65882,0.6901,0.69652,0.37261,1.56466,1.44452,1.73261,0.0011719,0.0011719,0.0011719
5,1065.65,1.21766,1.14414,1.45299,0.68662,0.70741,0.76095,0.43841,1.32921,1.3508,1.51056,0.00100687,0.00100687,0.00100687
6,1262.06,1.15882,1.03075,1.39884,0.79076,0.72472,0.79643,0.48799,1.25891,1.18058,1.45442,0.000841835,0.000841835,0.000841835
7,1453.71,1.12298,0.96697,1.38512,0.8268,0.77495,0.85329,0.53777,1.22278,0.99456,1.42029,0.000676802,0.000676802,0.000676802
8,1632.43,1.08968,0.92579,1.36503,0.82706,0.82404,0.86935,0.55582,1.20695,0.96224,1.37325,0.000511769,0.000511769,0.000511769
9,1826.6,1.06738,0.85005,1.33798,0.85423,0.79786,0.86847,0.56843,1.17397,0.9395,1.36042,0.000346736,0.000346736,0.000346736
10,2024.6,1.01148,0.81631,1.28978,0.85865,0.81262,0.88765,0.58654,1.12011,0.9097,1.32326,0.000181703,0.000181703,0.000181703
